title,property_size,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
5bdrm Duplex in Orchid Lekki for sale,100,5,5,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,"₦ 350,000,000"
"4bdrm Duplex in Orchid, Lekki for sale",100,4,4,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,"₦ 160,000,000"
"4bdrm Duplex in Ajah, Lekki for sale",100,4,4,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 170,000,000"
"4bdrm Duplex in General Paint, Off Lekki-Epe Expressway for sale",100,4,4,unfurnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Ajah,enterprise,"₦ 165,000,000"
"5bdrm Duplex in Lekki Palm City, Ado / Ajah for sale",100,5,5,unfurnished,"Ajah, Ado / Ajah",Ado / Ajah,Ajah,enterprise,"₦ 195,000,000"
"4bdrm Duplex in In A Gated Estate, Ado / Ajah for sale",200,4,4,unfurnished,"Ajah, Ado / Ajah",Ado / Ajah,Ajah,diamond,"₦ 140,000,000"
5bdrm Duplex in Lekki Expressway for sale,500,5,5,semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,diamond,"₦ 550,000,000"
4bdrm Duplex in Ikota for sale,200,4,4,unfurnished,"Lekki, Ikota",Ikota,Lekki,diamond,"₦ 200,000,000"
4bdrm Duplex in Berger for sale,500,4,4,semi-furnished,"Ojodu, Berger",Berger,Ojodu,diamond,"₦ 290,000,000"
5bdrm Duplex in Lekki Phase 1 for sale,500,5,5,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,diamond,"₦ 650,000,000"
5bdrm Duplex in Lekki Expressway for sale,500,5,5,semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,diamond,"₦ 450,000,000"
2bdrm Apartment in Chevron for sale,500,2,2,semi-furnished,"Lekki, Chevron",Chevron,Lekki,diamond,"₦ 160,000,000"
5bdrm Duplex in Banana Island for sale,500,5,5,semi-furnished,"Ikoyi, Banana Island",Banana Island,Ikoyi,diamond,"₦ 5,600,000,000"
5bdrm Duplex in Omole Phase 1 for sale,500,5,5,semi-furnished,"Ikeja, Omole Phase 1",Omole Phase 1,Ikeja,diamond,"₦ 950,000,000"
